radio,mcc,net,area,cell,lat,lon,range,samples
LTE,724,2,32173,35689986,-22.8703,-43.164,1000,4
LTE,724,2,32174,34973205,-22.9419,-43.3667,1000,1
LTE,724,2,32174,34973207,-22.9567,-43.3791,1000,1
LTE,724,2,32174,34973973,-22.9326,-43.3452,1000,4
LTE,724,2,32174,34974148,-22.9447,-43.3538,1000,18
LTE,724,2,32174,35011525,-22.9576,-43.3845,1000,1
LTE,724,2,32174,35011532,-22.9468,-43.3916,1000,1
LTE,724,2,32174,35020821,-22.9435,-43.3723,1000,1
LTE,724,2,32174,35078166,-22.9324,-43.3789,1000,1
LTE,724,2,32174,35078415,-22.963,-43.3482,1000,1
LTE,724,2,32174,35246016,-22.9594,-43.3874,1000,1
LTE,724,2,32174,35246276,-22.9542,-43.3718,1000,1
LTE,724,2,32174,35247106,-22.9269,-43.3473,1000,18
LTE,724,2,32174,35247297,-22.9283,-43.3428,1000,4
LTE,724,2,32174,35247381,-22.9368,-43.3481,1000,11
LTE,724,2,32174,35247383,-22.9402,-43.351,1000,5
LTE,724,2,32174,35248575,-22.9573,-43.3527,1000,5
LTE,724,2,32174,35248587,-22.9609,-43.3545,1000,9
LTE,724,2,32174,35250945,-22.9508,-43.3566,2006,50
LTE,724,2,32174,35250946,-22.9559,-43.3564,5167,50
LTE,724,2,32174,35251141,-22.9556,-43.3537,1000,8
LTE,724,2,32174,35251142,-22.9553,-43.3563,1000,5
LTE,724,2,32174,35255810,-22.9071,-43.3116,1186,17
LTE,724,2,32174,35255811,-22.909,-43.3152,1000,1
LTE,724,2,32174,35255823,-22.9233,-43.3354,2614,14
LTE,724,2,32174,35322901,-22.9403,-43.3829,1000,1
LTE,724,2,32174,35323333,-22.9353,-43.3806,1000,1
LTE,724,2,32174,35323353,-22.9357,-43.3802,1000,1
LTE,724,2,32174,35325975,-22.9388,-43.3944,1000,1
LTE,724,2,32174,35341827,-22.9553,-43.3574,1000,7
LTE,724,2,32174,35341845,-22.959,-43.3531,1000,5
LTE,724,2,32174,35341846,-22.9622,-43.3555,1000,2
LTE,724,2,32176,34814486,-22.9294,-43.3927,1000,1
LTE,724,2,32176,34876425,-22.8966,-43.3982,1000,1
LTE,724,2,32176,34876426,-22.8981,-43.3981,1000,1
LTE,724,2,32176,34876430,-22.898,-43.3982,1000,1
LTE,724,2,32176,35325376,-22.9175,-43.4101,1000,1
LTE,724,2,32177,34815765,-22.974,-43.2061,1000,5
LTE,724,2,32177,34816021,-22.9748,-43.2072,1000,8
LTE,724,2,32177,34816023,-22.9806,-43.2077,1000,4
LTE,724,2,32177,34816513,-22.9675,-43.2069,745,29
LTE,724,2,32177,34817301,-22.9778,-43.2233,1000,6
LTE,724,2,32177,34817302,-22.9786,-43.227,1000,1
LTE,724,2,32177,34817557,-22.979,-43.2288,1000,3
